Date,Open,High,Low,Close,Adj Close,Volume
04-01-2017,36500000000,36520000000,36100000000,36160000000,31218171875,7971750
05-01-2017,36060000000,36060000000,35540000000,35560000000,30700175781,10967450
06-01-2017,36180000000,36440000000,36040000000,36200000000,31252708984,8880950
09-01-2017,36600000000,37500000000,36560000000,37220000000,32133302734,13194900
10-01-2017,37280000000,37400000000,37080000000,37240000000,32150574219,9099800
11-01-2017,37520000000,38560000000,37420000000,38280000000,33048433594,12018150
12-01-2017,38000000000,38800000000,37980000000,38800000000,33497371094,11669150
13-01-2017,38100000000,38320000000,37460000000,37460000000,32340505859,15954450
16-01-2017,36860000000,37820000000,36320000000,36660000000,31649845703,16611500
17-01-2017,36580000000,37460000000,36580000000,36960000000,31908837891,8150700
18-01-2017,37040000000,37500000000,36620000000,36940000000,31891578125,8875400
19-01-2017,37720000000,37920000000,37020000000,37480000000,32357777344,9418900
20-01-2017,37120000000,37420000000,36880000000,37200000000,32116042969,9185000
23-01-2017,37200000000,38060000000,37000000000,38060000000,32858515625,8810400
24-01-2017,38120000000,38580000000,37880000000,38160000000,32944835938,11048750
25-01-2017,38340000000,39400000000,38320000000,39400000000,34015375000,13433850
26-01-2017,39420000000,40000000000,39420000000,39900000000,34447035156,15214500
31-01-2017,39900000000,39900000000,39460000000,39460000000,34067183594,17992200
01-02-2017,39540000000,39660000000,39040000000,39120000000,33773656250,14150400
02-02-2017,39600000000,39660000000,39200000000,39360000000,33980851563,15029300
03-02-2017,39400000000,39500000000,39180000000,39460000000,34067183594,10386350
06-02-2017,39580000000,39660000000,39140000000,39560000000,34153515625,8860700
07-02-2017,39560000000,39580000000,38760000000,38820000000,33514644531,14041800
08-02-2017,38740000000,38780000000,38200000000,38400000000,33152042969,17092950
09-02-2017,38780000000,38840000000,38220000000,38400000000,33152042969,13694150
10-02-2017,38400000000,38760000000,38300000000,38360000000,33117503906,11020750
13-02-2017,37740000000,38060000000,37720000000,37960000000,32772175781,11102050
14-02-2017,37960000000,38260000000,37320000000,37580000000,32444113281,13124150
15-02-2017,37080000000,37960000000,37080000000,37720000000,32564978516,14191550
16-02-2017,37800000000,38360000000,37780000000,38020000000,32823972656,10226350
17-02-2017,37560000000,38040000000,37280000000,37860000000,32685837891,15377450
20-02-2017,38220000000,38780000000,38160000000,38660000000,33376500000,7485800
21-02-2017,38540000000,39560000000,38420000000,38940000000,33618242188,10562600
22-02-2017,39000000000,39340000000,38980000000,39300000000,33929039063,8539450
23-02-2017,39020000000,39440000000,39020000000,39180000000,33825437500,10217300
24-02-2017,38960000000,39100000000,38060000000,38220000000,32996640625,9296850
27-02-2017,38020000000,38140000000,37700000000,38060000000,32858515625,9033700
28-02-2017,38060000000,38760000000,37960000000,38440000000,33186578125,15088700
02-03-2017,38420000000,39860000000,38420000000,39720000000,34291636719,21249800
03-03-2017,39340000000,39720000000,39160000000,39620000000,34205320313,12708700
06-03-2017,39220000000,40220000000,39220000000,40080000000,34602453125,12234850
07-03-2017,39800000000,40320000000,39800000000,40200000000,34706042969,10553250
08-03-2017,40200000000,40620000000,40140000000,40200000000,34706042969,12140950
09-03-2017,40200000000,40300000000,40020000000,40200000000,34706042969,14372250
10-03-2017,39960000000,40420000000,39860000000,40180000000,34688777344,10227800
13-03-2017,40040000000,40980000000,40040000000,40600000000,35051378906,7424100
14-03-2017,40620000000,41540000000,40500000000,41360000000,35707507813,11325050
15-03-2017,40800000000,41440000000,40800000000,41400000000,35742039063,9587850
16-03-2017,41800000000,42180000000,41540000000,41840000000,36121914063,9933150
17-03-2017,41800000000,42500000000,41720000000,42400000000,36605371094,12602300
20-03-2017,42000000000,42120000000,41740000000,41900000000,36173707031,10250050
21-03-2017,41780000000,42680000000,41760000000,42560000000,36743515625,14220150
22-03-2017,41600000000,42460000000,41580000000,42460000000,36657187500,16427250
23-03-2017,42200000000,42360000000,41700000000,41800000000,36087386719,15397100
24-03-2017,41600000000,41980000000,41080000000,41500000000,35828386719,12808150
27-03-2017,41200000000,41880000000,41180000000,41200000000,35569378906,12177650
28-03-2017,41560000000,41840000000,41380000000,41480000000,35811109375,8216250
29-03-2017,41740000000,41960000000,41580000000,41780000000,36070109375,10093250
30-03-2017,41880000000,42440000000,41880000000,41980000000,36364632813,8204000
31-03-2017,41820000000,42020000000,41200000000,41200000000,35688972656,10500300
03-04-2017,41400000000,41720000000,41300000000,41440000000,35896867188,9579400
04-04-2017,41600000000,42180000000,41520000000,42080000000,36451253906,12255500
05-04-2017,41900000000,42240000000,41700000000,42140000000,36503226563,10699700
06-04-2017,42000000000,42080000000,41600000000,41840000000,36243359375,9683400
07-04-2017,41800000000,41820000000,41160000000,41600000000,36035464844,10021000
10-04-2017,41940000000,41940000000,41500000000,41940000000,36329988281,7141350
11-04-2017,41940000000,41940000000,41580000000,41600000000,36035464844,7172900
12-04-2017,41860000000,41940000000,41700000000,41900000000,36295332031,8274900
13-04-2017,41660000000,42460000000,41660000000,42420000000,36745773438,9040800
14-04-2017,42160000000,42260000000,41760000000,42020000000,36399281250,5462850
17-04-2017,42000000000,42080000000,41520000000,41560000000,36000812500,5224750
18-04-2017,41680000000,41820000000,41280000000,41500000000,35948843750,6860650
19-04-2017,41300000000,41420000000,40900000000,40900000000,35429093750,11762900
20-04-2017,40580000000,40800000000,40080000000,40280000000,34892027344,21148850
21-04-2017,40480000000,41400000000,40480000000,40760000000,35307824219,15130500
24-04-2017,41260000000,41260000000,40920000000,41240000000,35723621094,8990150
25-04-2017,41460000000,42740000000,41320000000,42700000000,36988328125,19299600
26-04-2017,42700000000,42800000000,42520000000,42800000000,37074957031,14794800
27-04-2017,42700000000,44520000000,41960000000,43840000000,37975832031,23032250
28-04-2017,45780000000,45800000000,44520000000,44620000000,38651492188,22685700
02-05-2017,45500000000,45500000000,44760000000,44900000000,38894042969,14068300
04-05-2017,45700000000,45700000000,44860000000,45520000000,39431113281,13690100
08-05-2017,45520000000,47020000000,45340000000,47020000000,40730464844,19582550
10-05-2017,46160000000,47220000000,45600000000,45600000000,39500414063,23410950
11-05-2017,45420000000,46180000000,45220000000,45500000000,39413789063,21277850
12-05-2017,45760000000,46160000000,45660000000,45820000000,39690980469,9422900
15-05-2017,45620000000,46280000000,45620000000,46100000000,39933539063,8001400
16-05-2017,46660000000,46800000000,46100000000,46380000000,40176074219,8803750
17-05-2017,46120000000,46640000000,46100000000,46340000000,40141421875,7424450
18-05-2017,45740000000,46000000000,45540000000,45940000000,39794933594,11160350
19-05-2017,45640000000,45780000000,44720000000,44720000000,38738113281,15762350
22-05-2017,45040000000,45380000000,44760000000,45100000000,39067285156,17643550
23-05-2017,45400000000,45580000000,44900000000,44920000000,38911378906,12607050
24-05-2017,44860000000,45300000000,44800000000,44880000000,38876726563,8675400
25-05-2017,45160000000,45680000000,44800000000,45680000000,39569707031,13044800
26-05-2017,45600000000,46460000000,45540000000,46080000000,39916207031,13613650
29-05-2017,46220000000,46400000000,45380000000,45620000000,39517734375,8739550
30-05-2017,45520000000,45660000000,44480000000,44640000000,38668824219,12433600
31-05-2017,44580000000,45020000000,44400000000,44700000000,38720796875,18669100
01-06-2017,44860000000,44900000000,44400000000,44680000000,38703480469,9753500
02-06-2017,45060000000,45960000000,45000000000,45960000000,39812261719,12488750
05-06-2017,46040000000,46360000000,45720000000,45940000000,39794933594,7599400
07-06-2017,46500000000,46500000000,45240000000,45300000000,39240542969,13729400
08-06-2017,45000000000,45580000000,45000000000,45160000000,39119273438,13978750
09-06-2017,45680000000,46440000000,45600000000,46100000000,39933539063,11732850
12-06-2017,45420000000,45600000000,45140000000,45380000000,39309843750,10954300
13-06-2017,45140000000,45620000000,45140000000,45400000000,39327160156,8624900
14-06-2017,45800000000,46060000000,45240000000,45360000000,39292519531,10166700
15-06-2017,45680000000,45920000000,45180000000,45680000000,39569707031,9657000
16-06-2017,45500000000,45940000000,45460000000,45580000000,39483093750,17403450
19-06-2017,45580000000,46560000000,45560000000,46560000000,40332000000,11303900
20-06-2017,47240000000,48140000000,47220000000,48140000000,41700652344,15045000
21-06-2017,47740000000,48120000000,47480000000,47480000000,41128929688,9973650
22-06-2017,47960000000,48080000000,47720000000,47960000000,41544726563,11455800
23-06-2017,47600000000,47780000000,47420000000,47620000000,41250210938,9515100
26-06-2017,47520000000,48360000000,47520000000,48280000000,41821933594,8552800
27-06-2017,48220000000,48400000000,47900000000,48300000000,41839257813,9616750
28-06-2017,47600000000,48000000000,47560000000,47700000000,41319507813,9572500
29-06-2017,48040000000,48320000000,47940000000,47940000000,41649644531,8306550
30-06-2017,47500000000,47620000000,47100000000,47540000000,41302132813,11877550
03-07-2017,47500000000,47780000000,47120000000,47220000000,41024113281,6805550
04-07-2017,47160000000,47400000000,46900000000,47000000000,40832984375,7961000
05-07-2017,46820000000,47680000000,46780000000,47580000000,41336886719,10640250
06-07-2017,48000000000,48100000000,47720000000,48060000000,41753898438,10923050
07-07-2017,47740000000,48120000000,47620000000,47860000000,41580144531,8131900
10-07-2017,48500000000,48900000000,48320000000,48660000000,42275175781,10792750
11-07-2017,48640000000,49000000000,48280000000,49000000000,42570570313,9717800
12-07-2017,49000000000,50000000000,48840000000,49880000000,43335093750,9486150
13-07-2017,50080000000,50940000000,50040000000,50560000000,43925867188,16034150
14-07-2017,51000000000,51080000000,50420000000,50480000000,43856367188,8239000
